Player ID,First Name,Last Name,Team,Season,Roster URL,Position,Height,Class
14070,Jah'Mareah,Linville-Finley,Arkansas - Fort Smith,2025-26,https://uafortsmithlions.com/sports/womens-basketball/stats/2025-26,,,
14071,Caitlynn,Clark,Newman,2025-26,https://newmanjets.com/sports/womens-basketball/stats/2025-26,,,
14072,J,Fry,UNRESOLVED (-1),2025-26,,,,
14073,I,Woods,UNRESOLVED (-1),2025-26,,,,
14074,E,Wofford,UNRESOLVED (-1),2025-26,,,,
14075,Z,Jackson,UNRESOLVED (-1),2025-26,,,,
14076,A,Kenner,UNRESOLVED (-1),2025-26,,,,
14077,Shanice,Ferguson,UNRESOLVED (-1),2025-26,,,,
14078,M,Escabor,UNRESOLVED (-1),2025-26,,,,
14079,Dihlynn,Mitchell,UNRESOLVED (-1),2025-26,,,,
14080,K,Moore,UNRESOLVED (-1),2025-26,,,,
14081,T,Jones,UNRESOLVED (-1),2025-26,,,,
14082,Alissia,Barriner,UNRESOLVED (-1),2025-26,,,,
14083,Joi,Montgomery,UNRESOLVED (-1),2025-26,,,,
14084,Shadarriana,Stewart,UNRESOLVED (-1),2025-26,,,,
14085,Kynslee,Ward,UNRESOLVED (-1),2025-26,,,,
14086,Skylar,Rhodes,UNRESOLVED (-1),2025-26,,,,
14087,Mallory,Welch,UNRESOLVED (-1),2025-26,,,,
14088,Gracie,Washington,UNRESOLVED (-1),2025-26,,,,
14089,Kiyuana,Foster,UNRESOLVED (-1),2025-26,,,,
14097,Addie,McLemore,UNRESOLVED (-1),2025-26,,,,
14098,Madison,Moeller,UNRESOLVED (-1),2025-26,,,,
14099,Ana,Vieira,Arkansas - Monticello,2025-26,https://www.uamsports.com/sports/womens-basketball/stats/2025-26,,,
14100,Anna,Eldridge,UNRESOLVED (-1),2025-26,,,,
14101,Keely,Hussey,UNRESOLVED (-1),2025-26,,,,
14124,Mya,Jiminez,South New Hampshire,2025-26,https://snhupenmen.com/sports/womens-basketball/stats/2025-26,,,
14149,Amber,Bing,UNRESOLVED (-1),2025-26,,,,
14150,Kaia,Ponder,Alabama State,2025-26,,,,
14151,Amari,Franklin,Alabama State,2025-26,,,,
14152,Shamya,Reid,Alabama State,2025-26,,,,
14153,Takaya,Walters-Norman,Alabama State,2025-26,,,,
14154,Kaitlyn,Bryant,Alabama State,2025-26,,,,
14155,Alanah,Pooler,Alabama State,2025-26,,,,
14156,Charlese,McClendon,Alabama State,2025-26,,,,
14157,Ny'Keria,Flowers,Alabama State,2025-26,,,,
14158,Caylee,Simpson,Alabama State,2025-26,,,,
14159,Taylor,Smith,Alabama State,2025-26,,,,
14160,Samiah,Puckett,Alabama State,2025-26,,,,
14161,Ashley,Gray,Alabama State,2025-26,,,,
14162,Meagan,Scott,Alabama State,2025-26,,,,
14163,Jacqueline,Osei,Alabama State,2025-26,,,,
14164,Emma,Toombs,West Alabama,2025-26,https://uwaathletics.com/sports/womens-basketball/stats/2025-26,,,
14178,Kamiyah,Love,UNRESOLVED (-1),2025-26,,,,
14198,Jackie,Lindsay,UNRESOLVED (-1),2025-26,,,,
14199,Ailani,Collazo,UNRESOLVED (-1),2025-26,,,,
14200,Wakinyela,Bear,UNRESOLVED (-1),2025-26,,,,
14201,Saylor,Gallagher,UNRESOLVED (-1),2025-26,,,,
14202,Jada,Stanford,UNRESOLVED (-1),2025-26,,,,
14203,Melanie,Delestrez,UNRESOLVED (-1),2025-26,,,,
14204,Evelyn,Perkins,UNRESOLVED (-1),2025-26,,,,
14205,Sydney,Hazuga,UNRESOLVED (-1),2025-26,,,,
14206,Amira,LaDuke,UNRESOLVED (-1),2025-26,,,,
14207,Kaylee,Buerman,UNRESOLVED (-1),2025-26,,,,
14208,Leilani,Fonoti,UNRESOLVED (-1),2025-26,,,,
14209,Alexiah,LaRose,UNRESOLVED (-1),2025-26,,,,
14210,LaiLoni,Harris,UNRESOLVED (-1),2025-26,,,,
14211,Ellie,Braaten,UNRESOLVED (-1),2025-26,,,,
14212,Olivia,Backus,UNRESOLVED (-1),2025-26,,,,
14213,Ellie,Powell,UNRESOLVED (-1),2025-26,,,,
14214,Madison,Spacher,UNRESOLVED (-1),2025-26,,,,
14215,Aubrey,Prunty,UNRESOLVED (-1),2025-26,,,,
14216,Abby,Aslesen,UNRESOLVED (-1),2025-26,,,,
14217,Tiyana,Schwinghammer,UNRESOLVED (-1),2025-26,,,,
14218,Liz,Lukken,UNRESOLVED (-1),2025-26,,,,
14219,Tilda,Mauritzson,UNRESOLVED (-1),2025-26,,,,
14220,Delaney,Cotton,UNRESOLVED (-1),2025-26,,,,
14221,Sophie,Bachmeier,UNRESOLVED (-1),2025-26,,,,
14222,Maddy,Grove,UNRESOLVED (-1),2025-26,,,,
14223,Itzel,Salazar,UNRESOLVED (-1),2025-26,,,,
14224,Claire,Stark,UNRESOLVED (-1),2025-26,,,,
14225,Grace,Perry,UNRESOLVED (-1),2025-26,,,,
14226,Gianna,Klarenbeek,UNRESOLVED (-1),2025-26,,,,
14227,Shelby,Mortenson,UNRESOLVED (-1),2025-26,,,,
14228,Brooke,Ver Steeg,UNRESOLVED (-1),2025-26,,,,
14229,Anna,Myers,UNRESOLVED (-1),2025-26,,,,
14230,Mckenna,McIlonie,UNRESOLVED (-1),2025-26,,,,
14231,Gabby,Randt,UNRESOLVED (-1),2025-26,,,,
14232,Taylor,Johnson,UNRESOLVED (-1),2025-26,,,,
14233,Savanna,Pelzer,UNRESOLVED (-1),2025-26,,,,
14234,Reece,Wassink,UNRESOLVED (-1),2025-26,,,,
14235,Savannah,Petersen,UNRESOLVED (-1),2025-26,,,,
14236,Reagan,Krueger,Minnesota Duluth,2025-26,https://umdbulldogs.com/sports/womens-basketball/stats/2025-26,,,
14252,Erin,Isabell,Lane,2025-26,https://golcdragons.com/sports/womens-basketball/stats/2025-26,,,
14264,Renee,Chong,UNRESOLVED (-1),2025-26,,,,
14265,Laura,Strenk,UNRESOLVED (-1),2025-26,,,,
14266,Caleigh,Edwards,UNRESOLVED (-1),2025-26,,,,
14267,Payton,Sugar,UNRESOLVED (-1),2025-26,,,,
14268,Haylie,Wang,UNRESOLVED (-1),2025-26,,,,
14269,Naima,Joseph,UNRESOLVED (-1),2025-26,,,,
14270,Lauren,Dex,UNRESOLVED (-1),2025-26,,,,
14271,Audrey,Bayless,UNRESOLVED (-1),2025-26,,,,
14272,Jane,Hewitt,UNRESOLVED (-1),2025-26,,,,
14273,Abigail,Homan,UNRESOLVED (-1),2025-26,,,,
14274,Emily,Lee,UNRESOLVED (-1),2025-26,,,,
14275,Kayla,Malek,UNRESOLVED (-1),2025-26,,,,
14276,Jadyn,Lee,UNRESOLVED (-1),2025-26,,,,
14277,Kellie,Au,UNRESOLVED (-1),2025-26,,,,
14278,Sara,Chicco,UNRESOLVED (-1),2025-26,,,,
14279,Sofia,Robel,UNRESOLVED (-1),2025-26,,,,
14280,Shea,Joko,UNRESOLVED (-1),2025-26,,,,
14281,Avery,Patricco,UNRESOLVED (-1),2025-26,,,,
14282,Katie,Drais,UNRESOLVED (-1),2025-26,,,,
14283,Elsa,Cottrell,UNRESOLVED (-1),2025-26,,,,
14284,Molly,Pieper,UNRESOLVED (-1),2025-26,,,,
14285,Ali,Bennett,UNRESOLVED (-1),2025-26,,,,
14286,Anna,Revill,UNRESOLVED (-1),2025-26,,,,
14287,Claire,Wegmann-Krider,UNRESOLVED (-1),2025-26,,,,
14298,Minyhah,Easterling,Mansfield,2025-26,https://gomounties.com/sports/womens-basketball/stats/2025-26,,,
14326,Philleah,Bright,West Virginia State,2025-26,https://wvsuyellowjackets.com/sports/womens-basketball/stats/2025-26,,,
14341,Ashanti,Northcross,UNRESOLVED (-1),2025-26,,,,
14342,Gabriela,Rosado,UNRESOLVED (-1),2025-26,,,,
14343,Maddie,Day,UNRESOLVED (-1),2025-26,,,,
14344,Elle,Gunter,UNRESOLVED (-1),2025-26,,,,
14345,Charli,Wynn,UNRESOLVED (-1),2025-26,,,,
14346,Abby,O'Quinn,UNRESOLVED (-1),2025-26,,,,
14347,Lauren,Bragg,UNRESOLVED (-1),2025-26,,,,
14348,Katelyn,Norman,UNRESOLVED (-1),2025-26,,,,
14349,Elizabeth,Smith,UNRESOLVED (-1),2025-26,,,,
14350,Kierston,Rozell,UNRESOLVED (-1),2025-26,,,,
14351,Zoey,Snavely,UNRESOLVED (-1),2025-26,,,,
14352,Anna,Smith,UNRESOLVED (-1),2025-26,,,,
14353,J'Maia,Joseph,UNRESOLVED (-1),2025-26,,,,
14365,Taylor,Simpson,UNRESOLVED (-1),2025-26,,,,
14370,Chloe,Williams,UNRESOLVED (-1),2025-26,,,,
14377,Chrishawn,Coleman,UNRESOLVED (-1),2025-26,,,,
14378,Marley,Langi,UNRESOLVED (-1),2025-26,,,,
14379,Morgan,Hawkins,UNRESOLVED (-1),2025-26,,,,
14380,Aliyah,Carter,UNRESOLVED (-1),2025-26,,,,
14381,Tena,Ikidi,UNRESOLVED (-1),2025-26,,,,
14382,Dae'Jaidence,Kincade,UNRESOLVED (-1),2025-26,,,,
14383,Maria,Dias,UNRESOLVED (-1),2025-26,,,,
14384,Tianna,Sutherland,UNRESOLVED (-1),2025-26,,,,
14385,Zalissa,Finley,UNRESOLVED (-1),2025-26,,,,
14386,Ophelia,Powell,UNRESOLVED (-1),2025-26,,,,
14387,Jaime,Gallatly,UNRESOLVED (-1),2025-26,,,,
14399,Kylie,Kulina,UNRESOLVED (-1),2025-26,,,,
14402,Fatimah,Sani,Cal State Dominguez Hills,2025-26,https://gotoros.com/sports/womens-basketball/stats/2025-26,,,
